show,housewife,insta,age,white,divorces,net_worth,arrest,seasons,show_rank
d,Brandi Redmond,511000.00,43.00,1.00,0.00,4.00,0.00,5.00,8.00
d,D'Andra Simmons,269000.00,52.00,0.00,0.00,4.00,0.00,4.00,8.00
d,Kameron Westcott,346000.00,39.00,1.00,0.00,4.50,0.00,4.00,8.00
d,Kary Brittingham,105000.00,51.00,1.00,1.00,2.50,0.00,2.00,8.00
d,Tiffany Moon,630000.00,37.00,0.00,0.00,2.50,0.00,1.00,8.00
slc,Lisa Barlow,205000.00,47.00,1.00,0.00,5.00,0.00,2.00,7.00
slc,Mary Cosby,103000.00,49.00,0.00,1.00,5.00,1.00,2.00,7.00
slc,Heather Gay,334000.00,49.00,1.00,1.00,1.70,0.00,2.00,7.00
slc,Meredith Marks,360000.00,49.00,1.00,0.00,1.00,0.00,2.00,7.00
slc,Whitney Rose,305000.00,34.00,1.00,1.00,3.00,0.00,2.00,7.00
slc,Jen Shah,182000.00,48.00,0.00,0.00,3.00,1.00,2.00,7.00
slc,Jennie Nguyen,50900.00,44.00,0.00,0.00,3.00,0.00,1.00,7.00
